,user,text,favorite_count,retweet_count,created_at
95,POTUS,"On day one, I directed my Administration to use every tool to advance racial equity in America.

I'm proud to have taken bold action to narrow the racial wealth gap, invest in communities that've been left out, expand access to the ballot, and reform the criminal justice system. https://t.co/QDzyLEkvfE",9525,1834,2022-12-03 21:30:01+00:00
96,POTUS,You hired me to get things done – I hope I'm making you proud. https://t.co/jkHzBK5UPI,364449,24888,2022-12-03 19:30:02+00:00
97,POTUS,"I’ve made the largest single investment in our nation’s infrastructure since President Eisenhower’s national highway program.
 
And more than $13 billion of that investment will rebuild Indian Country, the biggest investment of its kind in history.",28905,4430,2022-12-03 18:15:00+00:00
98,POTUS,"Fellas, you made us proud. We get up and keep going.

Here’s to a bright future and 2026 back here at home. https://t.co/4IAOqFTHhC",73327,4348,2022-12-03 17:48:36+00:00
99,POTUS,We're back to investing in ourselves. https://t.co/wflOVmelBx,15439,2574,2022-12-03 16:30:27+00:00
100,POTUS,"We’re building 500,000 electric vehicle charging stations across the country.

The great American road trip will be fully electrified.",153234,12066,2022-12-03 14:54:31+00:00
101,POTUS,"Good kick, @tyler_adams14. 

Let’s go @USMNT! https://t.co/lEPC0UHXlI",91329,8992,2022-12-03 13:01:19+00:00
102,POTUS,"Welcome to the states, Prince William. https://t.co/S7aHv6wcCQ",118059,5721,2022-12-03 00:48:01+00:00
103,POTUS,"Our rail system is the backbone of our supply chain. Without it, industries would shut down and hundreds of thousands of Americans could be out of work.

With the help of bipartisan members of Congress, I signed a bill that averts disaster and keeps our economy on stable footing. https://t.co/YeYZTZFxhl",12986,1794,2022-12-02 23:00:34+00:00
104,POTUS,"We’ve created 10.5 million jobs since I took office – more than any Administration in history at this point in a presidency.
 
And I'm proud 750,000 of those are manufacturing jobs.",29591,4927,2022-12-02 21:49:28+00:00
105,POTUS,We’re building an economy from the bottom up and the middle out by creating more jobs than any Administration in history at this point in a presidency. https://t.co/BPGZapSKTM,19609,3660,2022-12-02 19:21:26+00:00
106,POTUS,"Folks, we got another strong jobs report for November.

263,000 jobs were added last month, and our unemployment remains near record lows. That's big.

This comes after news that inflation is moderating, our economy is growing at a strong pace, gas prices are down, and GDP is up.",21322,3874,2022-12-02 17:57:22+00:00
107,POTUS,"I just want to make a few things clear:
 
The Holocaust happened. 
 
Hitler was a demonic figure. 
 
And instead of giving it a platform, our political leaders should be calling out and rejecting antisemitism wherever it hides. 
 
Silence is complicity.",614723,102127,2022-12-02 16:23:34+00:00
108,POTUS,"With the signing of the Railway Labor Agreement, we not only spared this country a catastrophe.

We ensured rail workers will get a historic 24% wage increase, better conditions, and a cap on health care costs. And I won't stop fighting for paid sick leave for all workers.",17366,3230,2022-12-02 16:17:17+00:00
109,POTUS,Join me as I deliver remarks and sign a law providing a resolution to avert a nationwide rail shutdown. https://t.co/mzvq3nFe8x,5092,992,2022-12-02 15:54:12+00:00
110,POTUS,"India is a strong partner of the United States, and I look forward to supporting my friend Prime Minister Modi during India’s G20 presidency. 

Together we will advance sustainable and inclusive growth while tackling shared challenges like the climate, energy, and food crises. https://t.co/EsTK9XdsCp https://t.co/dTpBdiTJM0",24994,3567,2022-12-02 13:23:02+00:00
111,POTUS,"Jill and I were honored to welcome the Macrons to our first State dinner as President and First Lady – and to celebrate a friendship defined by the greatest of causes:
 
Democracy, liberty, equality, opportunity. And freedom. https://t.co/2Eec4fTw7p",37979,3729,2022-12-02 04:45:02+00:00
112,POTUS,We clean up pretty good. https://t.co/vWnWzmviOa,117303,7521,2022-12-02 04:11:41+00:00
113,POTUS,"It was a pleasure sitting down with my friend President Macron of France to outline our nations’ shared vision to strengthen security and increase prosperity worldwide, combat climate change, build greater resilience to its effects, and advance democratic values. https://t.co/L98bjRKDVT",16419,2145,2022-12-02 02:30:01+00:00
114,POTUS,"Thank you to those Congressional leaders and bipartisan members who voted to avert a rail shutdown.
 
Together, we pulled our economy from the brink of a devastating shutdown that would've hurt millions of families and union workers.
 
I look forward to signing the bill into law.",12302,2353,2022-12-02 02:03:55+00:00
115,POTUS,"Friends in times of triumph and of trial, France and the United States will meet the future just as we always have: undaunted by any challenge that lies ahead. https://t.co/ugvGwGGI2u",18683,2432,2022-12-02 00:45:18+00:00
116,POTUS,"Welcome to the People's House, Mr. President. https://t.co/c67WHtYEJG",36077,3323,2022-12-02 00:00:02+00:00
117,POTUS,"The temperature may be chilly on this bright December day, but our hearts are warm to welcome such close friends to the White House. https://t.co/5VIG2E9Mc0",22415,2520,2022-12-01 23:25:08+00:00
118,POTUS,"Republican officials are throwing up roadblocks in order to prevent middle-class families from getting the student debt relief they need.
 
We are taking our case to the Supreme Court. Today, they announced that they'll hear it in February. 
 
We will keep fighting. https://t.co/GoFi5fh26m",13231,2644,2022-12-01 22:48:00+00:00
119,POTUS,"France was our first ally. 
The first country to fly the American flag after our Revolution.
The first to host our diplomatic post.
 
But more than anything — France was our first friend. https://t.co/W5wbNKVdQj",21618,3240,2022-12-01 22:40:30+00:00
120,POTUS,"Liberty, equality, fraternity.
Liberté, égalité, fraternité. https://t.co/LfTvQbCKQF",39680,5036,2022-12-01 22:09:23+00:00
121,POTUS,Tune in as I host a joint press conference with President Emmanuel Macron of France. https://t.co/3mppuSw9Ha,4217,911,2022-12-01 18:18:13+00:00
122,POTUS,"Today, we learned inflation moderated and incomes grew in October, following news that our economy grew at an even stronger pace from July to September than previously thought.
 
We're seeing initial signs that we're tackling inflation as we transition to steady, stable growth.",11015,2590,2022-12-01 15:45:33+00:00
123,POTUS,"Looking forward to a productive day with President Macron, Mrs. Macron, and the French delegation. https://t.co/EvMikKG9ov",18993,2108,2022-12-01 15:00:02+00:00
124,POTUS,Tune in as the First Lady and I greet President Macron and Mrs. Macron of France for the Official Arrival Ceremony. https://t.co/BuAKjKvTHk,5727,1041,2022-12-01 14:17:27+00:00
125,POTUS,"On World AIDS Day, we raise a red ribbon to remember how far we’ve come, the work that's left, and those devastated by this disease, particularly the LGBTQI+ folks and people of color who endured the brunt of this epidemic instead of being seen.
 
Let's finish this fight. https://t.co/AIrd7snRB2",27195,4781,2022-12-01 14:12:33+00:00
126,POTUS,Welcoming some friends to town. https://t.co/n3rbqR98xB,113440,8186,2022-12-01 03:06:32+00:00
127,POTUS,"Join my family, Vice President Harris, and the Second Gentleman as we attend the National Christmas Tree Lighting. https://t.co/yDW8kU9GxO",7907,1490,2022-11-30 22:39:14+00:00
128,POTUS,"The economy grew at a 2.6% rate last quarter while inflation started to slow. We know it will take time to get inflation back to normal levels as we keep our job market resilient.
 
But our approach to building the economy of the future is working.",17844,3784,2022-11-30 22:20:00+00:00
